script_name,model_type,download_method,civitai_model_id,civitai_version_id,huggingface_model_id,direct_url,output_directory,helper_library,filename,param1,param2,param3,tags
Stable-diffusion/NoobE/WaiShuffleNoob_v20.sh,Stable-diffusion,civitai_download,989367,1195593,,,Stable-diffusion/NoobE,civitai_download.sh,WaiShuffleNoob_v20.safetensors,989367,1195593,,standard
Stable-diffusion/NoobE/copycatNoob_v11.sh,Stable-diffusion,huggingface_download,,,calculater/copycat-noob,,Stable-diffusion/NoobE,huggingface_download.sh,copycatNoob_v11.safetensors,calculater/copycat-noob,copycat-noob_v1.1.fp16.safetensors,,minimum;standard
Stable-diffusion/NoobE/illusobXl_v10.sh,Stable-diffusion,civitai_download,916130,1025392,,,Stable-diffusion/NoobE,civitai_download.sh,illusobXl_v10.safetensors,916130,1025392,,standard
Stable-diffusion/NoobE/lillyMix_v11.sh,Stable-diffusion,huggingface_download,,,yyy1026/songMix,,Stable-diffusion/NoobE,huggingface_download.sh,lillyMix_v11.safetensors,yyy1026/songMix,lillyMix_v1.1.safetensors,,standard
Stable-diffusion/NoobE/momiziNoob_v31.sh,Stable-diffusion,huggingface_download,,,KKTT8823/momizi_Noob,,Stable-diffusion/NoobE,huggingface_download.sh,momiziNoob_v31.safetensors,KKTT8823/momizi_Noob,momizi_Noob_V3_1.safetensors,,standard
Stable-diffusion/NoobE/plumMix_v10.sh,Stable-diffusion,civitai_download,1575671,1783043,,,Stable-diffusion/NoobE,civitai_download.sh,plumMix_v10.safetensors,1575671,1783043,,standard
Stable-diffusion/NoobE/songMix_v32.sh,Stable-diffusion,huggingface_download,,,yyy1026/songMix,,Stable-diffusion/NoobE,huggingface_download.sh,songMix_v32.safetensors,yyy1026/songMix,songMix_v3.2.safetensors,,standard
Stable-diffusion/NoobE/susamix_v10.sh,Stable-diffusion,civitai_download,944769,1057750,,,Stable-diffusion/NoobE,civitai_download.sh,susamix_v10.safetensors,944769,1057750,,standard
Stable-diffusion/NoobE/viviMix_v12.sh,Stable-diffusion,huggingface_download,,,yyy1026/songMix,,Stable-diffusion/NoobE,huggingface_download.sh,viviMix_v12.safetensors,yyy1026/songMix,viviMix_v1.2.safetensors,,standard
Stable-diffusion/NoobE_Base/NoobAiEpsilonPred_v11.sh,Stable-diffusion,huggingface_download,,,Laxhar/noobai-XL-1.1,,Stable-diffusion/NoobE_Base,huggingface_download.sh,NoobAiEpsilonPred_v11.safetensors,Laxhar/noobai-XL-1.1,NoobAI-XL-v1.1.safetensors,,standard
Stable-diffusion/NoobE_Real/DivingIL_RealAsian_v20.sh,Stable-diffusion,civitai_download,1562047,1778467,,,Stable-diffusion/NoobE_Real,civitai_download.sh,DivingIL_RealAsian_v20_LCM_Beta.safetensors,1562047,1778467,,standard
Stable-diffusion/NoobE_Real/Featureless25DMix_v20.sh,Stable-diffusion,civitai_download,1133674,1795934,,,Stable-diffusion/NoobE_Real,civitai_download.sh,Featureless25DMix_v20.safetensors,1133674,1795934,,standard
Stable-diffusion/NoobE_Real/PornMasterPro_v25.sh,Stable-diffusion,civitai_download,1045588,1585993,,,Stable-diffusion/NoobE_Real,civitai_download.sh,PornMasterPro_v25.safetensors,1045588,1585993,,standard
Stable-diffusion/NoobE_Real/UncannyValley_v10_LcmPolyexp.sh,Stable-diffusion,civitai_download,507472,1413921,,,Stable-diffusion/NoobE_Real,civitai_download.sh,UncannyValley_v10_LcmPolyexp.safetensors,507472,1413921,,standard
Stable-diffusion/NoobE_Unique/NovaFurry_v50.sh,Stable-diffusion,civitai_download,503815,1513134,,,Stable-diffusion/NoobE_Unique,civitai_download.sh,NovaFurry_v50.safetensors,503815,1513134,,standard
Stable-diffusion/NoobE_Unique/PVCStyleModelMovable_v13a.sh,Stable-diffusion,civitai_download,338712,1438553,,,Stable-diffusion/NoobE_Unique,civitai_download.sh,PVCStyleModelMovable_v13a.safetensors,338712,1438553,,standard
Stable-diffusion/NoobV/CatTowerV_v17.sh,Stable-diffusion,civitai_download,920709,1495826,,,Stable-diffusion/NoobV,civitai_download.sh,CatTowerV_v17.safetensors,920709,1495826,,minimum;standard
Stable-diffusion/NoobV/CottonNoob_v40.sh,Stable-diffusion,civitai_download,1259226,1830361,,,Stable-diffusion/NoobV,civitai_download.sh,CottonNoob_v40.safetensors,1259226,1830361,,standard
Stable-diffusion/NoobV/ElMichael_v10.sh,Stable-diffusion,huggingface_download,,,deadman44/SDXL_Anime_Merged_Models,,Stable-diffusion/NoobV,huggingface_download.sh,ElMichael_v10.safetensors,deadman44/SDXL_Anime_Merged_Models,El_Michael_XL_Vpred_v1_no_dmd2.safetensors,,standard
Stable-diffusion/NoobV/HarmoniqMixSpo_v30.sh,Stable-diffusion,huggingface_download,,,hybskgks28275/HarmoniqMix_vPred_v3.x,,Stable-diffusion/NoobV,huggingface_download.sh,HarmoniqMixSpo_v30.safetensors,hybskgks28275/HarmoniqMix_vPred_v3.x,HarmoniqMix_vPred_v3_SPO/HarmoniqMix_vPred_v3_SPO.safetensors,,minimum;standard
Stable-diffusion/NoobV/HikariNoob_v121.sh,Stable-diffusion,huggingface_download,,,RedRayz/hikari_noob_v-pred_1.2.1,,Stable-diffusion/NoobV,huggingface_download.sh,HikariNoob_v121.safetensors,RedRayz/hikari_noob_v-pred_1.2.1,Hikari_Noob_v-pred_1.2.1.safetensors,,standard
Stable-diffusion/NoobV/LuminarQMixV_v71.sh,Stable-diffusion,civitai_download,1616309,1888125,,,Stable-diffusion/NoobV,civitai_download.sh,LuminarQMixV_v71.safetensors,1616309,1888125,,standard
Stable-diffusion/NoobV/ObsessionV_v20.sh,Stable-diffusion,civitai_download,820208,2234052,,,Stable-diffusion/NoobV,civitai_download.sh,ObsessionV_v20.safetensors,820208,2234052,,standard
Stable-diffusion/NoobV/WaiShuffleNoobV_v20.sh,Stable-diffusion,civitai_download,989367,1494366,,,Stable-diffusion/NoobV,civitai_download.sh,WaiShuffleNoobV_v20.safetensors,989367,1494366,,standard
Stable-diffusion/NoobV/copycatNoobV_v101.sh,Stable-diffusion,huggingface_download,,,calculater/copycat-noob,,Stable-diffusion/NoobV,huggingface_download.sh,copycatNoobV_v101.safetensors,calculater/copycat-noob,Copycat-noob_vpred_v1.01.safetensors,,standard
Stable-diffusion/NoobV/illusobV_v165s.sh,Stable-diffusion,civitai_download,916130,1094356,,,Stable-diffusion/NoobV,civitai_download.sh,illusobV_v165s.safetensors,916130,1094356,,standard
Stable-diffusion/NoobV/susamixEX_v02.sh,Stable-diffusion,civitai_download,1125348,1821137,,,Stable-diffusion/NoobV,civitai_download.sh,susamixEX_v02.safetensors,1125348,1821137,,standard
Stable-diffusion/NoobV/susamixV_v40.sh,Stable-diffusion,civitai_download,944769,1145390,,,Stable-diffusion/NoobV,civitai_download.sh,susamixV_v40.safetensors,944769,1145390,,standard
Stable-diffusion/NoobV_Base/NoobAiVPred_v10.sh,Stable-diffusion,huggingface_download,,,Laxhar/noobai-XL-Vpred-1.0,,Stable-diffusion/NoobV_Base,huggingface_download.sh,NoobAiVPred_v10.safetensors,Laxhar/noobai-XL-Vpred-1.0,NoobAI-XL-Vpred-v1.0.safetensors,,standard
Stable-diffusion/NoobV_Real/ZipanoobDmd_v11.sh,Stable-diffusion,huggingface_download,,,deadman44/SDXL_Photoreal_Merged_Models,,Stable-diffusion/NoobV_Real,huggingface_download.sh,ZipanoobDmd_v11.safetensors,deadman44/SDXL_Photoreal_Merged_Models,Zipanoob_XL_Vpred_v1.1.safetensors,,standard
Stable-diffusion/NoobV_Unique/CopycatMr_v10.sh,Stable-diffusion,civitai_download,894218,1331523,,,Stable-diffusion/NoobV_Unique,civitai_download.sh,CopycatMr_v10.safetensors,894218,1331523,,standard
